id,grade,subject,unit,lesson,question_number,question
1,1,Math,1,1,1,Add 4 and 7.
2,1,Math,1,1,2,Add 5 and 9.
3,1,Math,1,1,3,Add 6 and 2.
4,1,Math,1,1,4,Add 7 and 4.
5,1,Math,1,1,5,Add 8 and 6.
6,1,Math,1,2,1,Add 5 and 9.
7,1,Math,1,2,2,Add 6 and 2.
8,1,Math,1,2,3,Add 7 and 4.
9,1,Math,1,2,4,Add 8 and 6.
10,1,Math,1,2,5,Add 9 and 8.
11,1,Math,1,3,1,Add 6 and 2.
12,1,Math,1,3,2,Add 7 and 4.
13,1,Math,1,3,3,Add 8 and 6.
14,1,Math,1,3,4,Add 9 and 8.
15,1,Math,1,3,5,Add 1 and 1.
16,1,Math,2,1,1,Add 5 and 9.
17,1,Math,2,1,2,Add 6 and 2.
18,1,Math,2,1,3,Add 7 and 4.
19,1,Math,2,1,4,Add 8 and 6.
20,1,Math,2,1,5,Add 9 and 8.
21,1,Math,2,2,1,Add 6 and 2.
22,1,Math,2,2,2,Add 7 and 4.
23,1,Math,2,2,3,Add 8 and 6.
24,1,Math,2,2,4,Add 9 and 8.
25,1,Math,2,2,5,Add 1 and 1.
26,1,Math,2,3,1,Add 7 and 4.
27,1,Math,2,3,2,Add 8 and 6.
28,1,Math,2,3,3,Add 9 and 8.
29,1,Math,2,3,4,Add 1 and 1.
30,1,Math,2,3,5,Add 2 and 3.
31,1,Math,3,1,1,Add 6 and 2.
32,1,Math,3,1,2,Add 7 and 4.
33,1,Math,3,1,3,Add 8 and 6.
34,1,Math,3,1,4,Add 9 and 8.
35,1,Math,3,1,5,Add 1 and 1.
36,1,Math,3,2,1,Add 7 and 4.
37,1,Math,3,2,2,Add 8 and 6.
38,1,Math,3,2,3,Add 9 and 8.
39,1,Math,3,2,4,Add 1 and 1.
40,1,Math,3,2,5,Add 2 and 3.
41,1,Math,3,3,1,Add 8 and 6.
42,1,Math,3,3,2,Add 9 and 8.
43,1,Math,3,3,3,Add 1 and 1.
44,1,Math,3,3,4,Add 2 and 3.
45,1,Math,3,3,5,Add 3 and 5.
46,1,Math,4,1,1,Add 7 and 4.
47,1,Math,4,1,2,Add 8 and 6.
48,1,Math,4,1,3,Add 9 and 8.
49,1,Math,4,1,4,Add 1 and 1.
50,1,Math,4,1,5,Add 2 and 3.
51,1,Math,4,2,1,Add 8 and 6.
52,1,Math,4,2,2,Add 9 and 8.
53,1,Math,4,2,3,Add 1 and 1.
54,1,Math,4,2,4,Add 2 and 3.
55,1,Math,4,2,5,Add 3 and 5.
56,1,Math,4,3,1,Add 9 and 8.
57,1,Math,4,3,2,Add 1 and 1.
58,1,Math,4,3,3,Add 2 and 3.
59,1,Math,4,3,4,Add 3 and 5.
60,1,Math,4,3,5,Add 4 and 7.
61,1,Math,5,1,1,Add 8 and 6.
62,1,Math,5,1,2,Add 9 and 8.
63,1,Math,5,1,3,Add 1 and 1.
64,1,Math,5,1,4,Add 2 and 3.
65,1,Math,5,1,5,Add 3 and 5.
66,1,Math,5,2,1,Add 9 and 8.
67,1,Math,5,2,2,Add 1 and 1.
68,1,Math,5,2,3,Add 2 and 3.
69,1,Math,5,2,4,Add 3 and 5.
70,1,Math,5,2,5,Add 4 and 7.
71,1,Math,5,3,1,Add 1 and 1.
72,1,Math,5,3,2,Add 2 and 3.
73,1,Math,5,3,3,Add 3 and 5.
74,1,Math,5,3,4,Add 4 and 7.
75,1,Math,5,3,5,Add 5 and 9.
76,1,Math,6,1,1,Add 9 and 8.
77,1,Math,6,1,2,Add 1 and 1.
78,1,Math,6,1,3,Add 2 and 3.
79,1,Math,6,1,4,Add 3 and 5.
80,1,Math,6,1,5,Add 4 and 7.
81,1,Math,6,2,1,Add 1 and 1.
82,1,Math,6,2,2,Add 2 and 3.
83,1,Math,6,2,3,Add 3 and 5.
84,1,Math,6,2,4,Add 4 and 7.
85,1,Math,6,2,5,Add 5 and 9.
86,1,Math,6,3,1,Add 2 and 3.
87,1,Math,6,3,2,Add 3 and 5.
88,1,Math,6,3,3,Add 4 and 7.
89,1,Math,6,3,4,Add 5 and 9.
90,1,Math,6,3,5,Add 6 and 2.
91,1,Math,7,1,1,Add 1 and 1.
92,1,Math,7,1,2,Add 2 and 3.
93,1,Math,7,1,3,Add 3 and 5.
94,1,Math,7,1,4,Add 4 and 7.
95,1,Math,7,1,5,Add 5 and 9.
96,1,Math,7,2,1,Add 2 and 3.
97,1,Math,7,2,2,Add 3 and 5.
98,1,Math,7,2,3,Add 4 and 7.
99,1,Math,7,2,4,Add 5 and 9.
100,1,Math,7,2,5,Add 6 and 2.
101,1,Math,7,3,1,Add 3 and 5.
102,1,Math,7,3,2,Add 4 and 7.
103,1,Math,7,3,3,Add 5 and 9.
104,1,Math,7,3,4,Add 6 and 2.
105,1,Math,7,3,5,Add 7 and 4.
106,1,Math,8,1,1,Add 2 and 3.
107,1,Math,8,1,2,Add 3 and 5.
108,1,Math,8,1,3,Add 4 and 7.
109,1,Math,8,1,4,Add 5 and 9.
110,1,Math,8,1,5,Add 6 and 2.
111,1,Math,8,2,1,Add 3 and 5.
112,1,Math,8,2,2,Add 4 and 7.
113,1,Math,8,2,3,Add 5 and 9.
114,1,Math,8,2,4,Add 6 and 2.
115,1,Math,8,2,5,Add 7 and 4.
116,1,Math,8,3,1,Add 4 and 7.
117,1,Math,8,3,2,Add 5 and 9.
118,1,Math,8,3,3,Add 6 and 2.
119,1,Math,8,3,4,Add 7 and 4.
120,1,Math,8,3,5,Add 8 and 6.
121,1,Math,9,1,1,Add 3 and 5.
122,1,Math,9,1,2,Add 4 and 7.
123,1,Math,9,1,3,Add 5 and 9.
124,1,Math,9,1,4,Add 6 and 2.
125,1,Math,9,1,5,Add 7 and 4.
126,1,Math,9,2,1,Add 4 and 7.
127,1,Math,9,2,2,Add 5 and 9.
128,1,Math,9,2,3,Add 6 and 2.
129,1,Math,9,2,4,Add 7 and 4.
130,1,Math,9,2,5,Add 8 and 6.
131,1,Math,9,3,1,Add 5 and 9.
132,1,Math,9,3,2,Add 6 and 2.
133,1,Math,9,3,3,Add 7 and 4.
134,1,Math,9,3,4,Add 8 and 6.
135,1,Math,9,3,5,Add 9 and 8.
136,1,Math,10,1,1,Add 4 and 7.
137,1,Math,10,1,2,Add 5 and 9.
138,1,Math,10,1,3,Add 6 and 2.
139,1,Math,10,1,4,Add 7 and 4.
140,1,Math,10,1,5,Add 8 and 6.
141,1,Math,10,2,1,Add 5 and 9.
142,1,Math,10,2,2,Add 6 and 2.
143,1,Math,10,2,3,Add 7 and 4.
144,1,Math,10,2,4,Add 8 and 6.
145,1,Math,10,2,5,Add 9 and 8.
146,1,Math,10,3,1,Add 6 and 2.
147,1,Math,10,3,2,Add 7 and 4.
148,1,Math,10,3,3,Add 8 and 6.
149,1,Math,10,3,4,Add 9 and 8.
150,1,Math,10,3,5,Add 1 and 1.
151,1,English,1,1,1,Fill in the missing letter: t_ee
152,1,English,1,1,2,Fill in the missing letter: b_s
153,1,English,1,1,3,Fill in the missing letter: p_n
154,1,English,1,1,4,Fill in the missing letter: c_p
