id,grade,subject,unit,lesson,question_number,question
1,1,Math,1,1,1,Calculate 4 + 10.
2,1,Math,1,1,2,Calculate 5 + 9.
3,1,Math,1,1,3,Calculate 2 + 2.
4,1,Math,1,1,4,Calculate 5 + 8.
5,1,Math,1,1,5,Calculate 9 + 5.
6,1,Math,1,2,1,Calculate 3 - 3.
7,1,Math,1,2,2,Calculate 9 + 3.
8,1,Math,1,2,3,Calculate 9 - 8.
9,1,Math,1,2,4,Calculate 9 - 3.
10,1,Math,1,2,5,Calculate 10 + 6.
11,1,Math,1,3,1,Calculate 7 - 5.
12,1,Math,1,3,2,Calculate 6 - 4.
13,1,Math,1,3,3,Calculate 6 + 1.
14,1,Math,1,3,4,Calculate 5 - 4.
15,1,Math,1,3,5,Calculate 3 + 4.
16,1,Math,2,1,1,Calculate 8 + 10.
17,1,Math,2,1,2,Calculate 1 + 2.
18,1,Math,2,1,3,Calculate 7 + 2.
19,1,Math,2,1,4,Calculate 5 + 2.
20,1,Math,2,1,5,Calculate 1 + 3.
21,1,Math,2,2,1,Calculate 6 - 2.
22,1,Math,2,2,2,Calculate 9 + 6.
23,1,Math,2,2,3,Calculate 8 + 3.
24,1,Math,2,2,4,Calculate 6 + 2.
25,1,Math,2,2,5,Calculate 4 + 7.
26,1,Math,2,3,1,Calculate 3 + 6.
27,1,Math,2,3,2,Calculate 3 + 10.
28,1,Math,2,3,3,Calculate 8 + 1.
29,1,Math,2,3,4,Calculate 2 - 1.
30,1,Math,2,3,5,Calculate 9 - 9.
31,1,Math,3,1,1,Calculate 6 + 3.
32,1,Math,3,1,2,Calculate 1 + 1.
33,1,Math,3,1,3,Calculate 5 + 4.
34,1,Math,3,1,4,Calculate 8 - 3.
35,1,Math,3,1,5,Calculate 9 + 2.
36,1,Math,3,2,1,Calculate 10 + 10.
37,1,Math,3,2,2,Calculate 6 - 5.
38,1,Math,3,2,3,Calculate 6 + 8.
39,1,Math,3,2,4,Calculate 6 + 6.
40,1,Math,3,2,5,Calculate 4 - 1.
41,1,Math,3,3,1,Calculate 7 + 6.
42,1,Math,3,3,2,Calculate 5 + 3.
43,1,Math,3,3,3,Calculate 7 + 9.
44,1,Math,3,3,4,Calculate 10 + 4.
45,1,Math,3,3,5,Calculate 3 + 7.
46,1,Math,4,1,1,Calculate 9 - 2.
47,1,Math,4,1,2,Calculate 9 - 6.
48,1,Math,4,1,3,Calculate 3 + 3.
49,1,Math,4,1,4,Calculate 7 - 3.
50,1,Math,4,1,5,Calculate 9 + 7.
51,1,Math,4,2,1,Calculate 4 - 3.
52,1,Math,4,2,2,Calculate 7 - 6.
53,1,Math,4,2,3,Calculate 3 - 1.
54,1,Math,4,2,4,Calculate 4 - 2.
55,1,Math,4,2,5,Calculate 6 - 1.
56,1,Math,4,3,1,Calculate 8 - 6.
57,1,Math,4,3,2,Calculate 9 + 10.
58,1,Math,4,3,3,Calculate 10 - 6.
59,1,Math,4,3,4,Calculate 6 + 9.
60,1,Math,4,3,5,Calculate 7 + 7.
61,1,Math,5,1,1,Calculate 10 + 9.
62,1,Math,5,1,2,Calculate 10 + 8.
63,1,Math,5,1,3,Calculate 8 - 8.
64,1,Math,5,1,4,Calculate 7 - 4.
65,1,Math,5,1,5,Calculate 10 - 3.
66,1,Math,5,2,1,Calculate 8 + 9.
67,1,Math,5,2,2,Calculate 8 - 1.
68,1,Math,5,2,3,Calculate 6 + 4.
69,1,Math,5,2,4,Calculate 2 - 2.
70,1,Math,5,2,5,Calculate 10 + 3.
71,1,Math,5,3,1,Calculate 7 - 1.
72,1,Math,5,3,2,Calculate 4 + 6.
73,1,Math,5,3,3,Calculate 7 + 8.
74,1,Math,5,3,4,Calculate 1 + 10.
75,1,Math,5,3,5,Calculate 2 + 6.
76,1,Math,6,1,1,Calculate 6 + 10.
77,1,Math,6,1,2,Calculate 1 + 4.
